commit_sha,feature_set,commit_policy,virgin_zero_skip,cpu,os,rustc,scenario,size,touch,reps,mean_ns_per_op,p50_ns_per_op,min_ns_per_op,max_ns_per_op,mean_activation_pct,min_activation_pct,oracle,landing_commit
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,4k,full,10,2417.5,1993.8,1912.5,3337.5,0.00,0.00,FAIL,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,16k,notouch,10,318.1,318.8,293.8,343.8,0.00,0.00,FAIL,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,16k,onebyte,10,334.4,337.5,293.8,356.2,0.00,0.00,FAIL,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,16k,full,10,12262.5,12256.2,11918.8,13143.8,0.00,0.00,FAIL,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,64k,notouch,10,1932.5,1931.2,1893.8,1981.2,0.00,0.00,FAIL,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,64k,onebyte,10,1951.2,1937.5,1762.5,2143.8,0.00,0.00,FAIL,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,64k,full,10,46003.1,47025.0,32943.8,53056.2,0.00,0.00,FAIL,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,128k,notouch,10,3776.9,3431.2,3412.5,5418.8,0.00,0.00,FAIL,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,128k,onebyte,10,3703.8,3443.8,3431.2,4462.5,0.00,0.00,FAIL,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats small-segment-lazy-commit",lazy,false,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,recycled,128k,full,10,143275.0,64150.0,63137.5,819968.8,0.00,0.00,FAIL,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats virgin-zero-skip small-segment-lazy-commit",lazy,true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,4k,notouch,50,57178.0,55100.0,47300.0,93500.0,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats virgin-zero-skip small-segment-lazy-commit",lazy,true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,4k,onebyte,50,59124.0,57600.0,43100.0,81400.0,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats virgin-zero-skip small-segment-lazy-commit",lazy,true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,4k,full,50,72808.0,69700.0,53500.0,145100.0,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats virgin-zero-skip small-segment-lazy-commit",lazy,true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,16k,notouch,50,70082.0,67600.0,55900.0,110800.0,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats virgin-zero-skip small-segment-lazy-commit",lazy,true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,16k,onebyte,50,78694.0,73500.0,59800.0,287700.0,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
50d5adc9e99f7817f88097901d7d0497fae53ea3,"production bench-internals alloc-stats virgin-zero-skip small-segment-lazy-commit",lazy,true,Intel_Core_i7-11800H_2.30GHz,Windows_10_Pro_10.0.19045,1.97.0,virgin,16k,full,50,80778.0,79900.0,70900.0,102600.0,100.00,100.00,PASS,d8f467b869c226150746532c484944958ee31808
