=== R34-11 catch-up decay gate — stride=64 catchup_max=8 ===
RESULT sparse_ts=1 interval=30 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=125 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=31 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=129 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=32 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=133 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=33 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=137 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=34 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=141 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=35 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=145 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=36 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=149 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=37 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=153 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=38 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=157 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=39 events=2 arm=unthrottled used_post=16777216 guard_passed_cum=161 released_cum=4 rss_kib=11384
RESULT sparse_config=1 events=2 arm=unthrottled intervals=40 headroom_bytes=16777216 obj_bytes=2097152 decay_interval_ms=100 decay_rate_bp=1000 stride=64 catchup_max=8 slots=8 verified_headroom=16777216 verified_interval_ms=100 config_conflicts_delta=0 used_baseline=33554432 guard_passed_baseline=1 released_baseline=0 rss_baseline_kib=19572 guard_passed_delta=160 released_delta=4 headroom_crossed=1 unthrottled_read=1 catchup_active=1 process_identity=subprocess
RESULT sparse_oracle=1 events=2 arm=unthrottled oracle_pass=1
--- sparse events=4 arm=throttled ---
RESULT sparse_ts=1 interval=0 events=4 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19584
RESULT sparse_ts=1 interval=1 events=4 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19588
RESULT sparse_ts=1 interval=2 events=4 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19588
RESULT sparse_ts=1 interval=3 events=4 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19588
RESULT sparse_ts=1 interval=4 events=4 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19588
RESULT sparse_ts=1 interval=5 events=4 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19588
RESULT sparse_ts=1 interval=6 events=4 arm=throttled used_post=33554432 guard_passed_cum=1 released_cum=0 rss_kib=19588
RESULT sparse_ts=1 interval=7 events=4 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13436
RESULT sparse_ts=1 interval=8 events=4 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13436
RESULT sparse_ts=1 interval=9 events=4 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13436
RESULT sparse_ts=1 interval=10 events=4 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13436
RESULT sparse_ts=1 interval=11 events=4 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13436
RESULT sparse_ts=1 interval=12 events=4 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13436
RESULT sparse_ts=1 interval=13 events=4 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13436
RESULT sparse_ts=1 interval=14 events=4 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13436
RESULT sparse_ts=1 interval=15 events=4 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13436
RESULT sparse_ts=1 interval=16 events=4 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13436
RESULT sparse_ts=1 interval=17 events=4 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13436
RESULT sparse_ts=1 interval=18 events=4 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13436
RESULT sparse_ts=1 interval=19 events=4 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13436
RESULT sparse_ts=1 interval=20 events=4 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13436
RESULT sparse_ts=1 interval=21 events=4 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13436
RESULT sparse_ts=1 interval=22 events=4 arm=throttled used_post=20971520 guard_passed_cum=2 released_cum=3 rss_kib=13436
RESULT sparse_ts=1 interval=23 events=4 arm=throttled used_post=16777216 guard_passed_cum=3 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=24 events=4 arm=throttled used_post=16777216 guard_passed_cum=3 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=25 events=4 arm=throttled used_post=16777216 guard_passed_cum=3 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=26 events=4 arm=throttled used_post=16777216 guard_passed_cum=3 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=27 events=4 arm=throttled used_post=16777216 guard_passed_cum=3 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=28 events=4 arm=throttled used_post=16777216 guard_passed_cum=3 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=29 events=4 arm=throttled used_post=16777216 guard_passed_cum=3 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=30 events=4 arm=throttled used_post=16777216 guard_passed_cum=3 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=31 events=4 arm=throttled used_post=16777216 guard_passed_cum=3 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=32 events=4 arm=throttled used_post=16777216 guard_passed_cum=3 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=33 events=4 arm=throttled used_post=16777216 guard_passed_cum=3 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=34 events=4 arm=throttled used_post=16777216 guard_passed_cum=3 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=35 events=4 arm=throttled used_post=16777216 guard_passed_cum=3 released_cum=4 rss_kib=11384
RESULT sparse_ts=1 interval=36 events=4 arm=throttled used_post=16777216 guard_passed_cum=3 released_cum=4 rss_kib=11384
